Thời gian,Cán bộ thẩm định,Tổ chức/cá nhân,Số Giấy phép,Danh sách file tải lên,File báo cáo,Trạng thái,Ghi chú
2026-05-20 23:00:12,Vũ Thanh Hòa,Công ty TNHH MTV thông tin điện tử hàng hải Việt Nam,340555/GP-GH | 340555/GP-GH2,340555gh2.pdf | 340555gh.pdf,20260520_225953_Công ty TNHH MTV thông tin điện tử hàng hải Việt N.html,Bị chặn đầu vào,"❌ SAI NGHIỆP VỤ HỒ SƠ: Hệ thống phát hiện văn bản tải lên là (340555/GP-GH), không phải cấu trúc Giấy phép Cấp mới thuần túy (phải có đuôi /GP hoặc /GP-DP)."
2026-05-20 23:07:39,Vũ Thanh Hòa,Công ty TNHH MTV thông tin điện tử hàng hải Việt Nam,340555/GP-GH | 340555/GP-GH2,340555gh2.pdf | 340555gh.pdf,20260520_230718_Công ty TNHH MTV thông tin điện tử hàng hải Việt N.html,Bị chặn đầu vào,"❌ THIẾU DẤU VẾT NGHIỆP VỤ: Không tìm thấy nội dung ghi số giấy phép tại mục 'sửa đổi, bổ sung cho giấy phép số...' dưới tiêu đề Bản khai thông số kỹ thuật."
2026-05-20 23:09:11,Vũ Thanh Hòa,Công ty TNHH MTV thông tin điện tử hàng hải Việt Nam,340555/GP-GH | 340555/GP-GH2,340555gh2.pdf | 340555gh.pdf,20260520_230759_Công ty TNHH MTV thông tin điện tử hàng hải Việt N.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-20 23:18:16,Vũ Thanh Hòa,Cảng Hàng không Cà Mau - Tổng Công ty Cảng hàng không Việt Nam - CTCP,404104/GP | 404105/GP | 404103/GP,404103_05gp.pdf | 404103_05bk.pdf,20260520_231707_Cảng Hàng không Cà Mau - Tổng Công ty Cảng hàng kh.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-20 23:36:07,Vũ Thúy Hường,Công ty CP thương mại công nghệ Kiến Việt | CÔNG TY TNHH DỊCH VỤ BẢO VỆ CHUYÊN NGHIỆP HOÀNG ANH ĐẠT,374746/GP-GH2 | 374746/GP-GH | 374745/GP | 374745/GP-GH,374746gh.pdf | 374746gh2.pdf | 374745gp.pdf | 374745gh.pdf | 333476bksuadoi.pdf | 374745bksuadoi.pdf,20260520_233416_Công ty CP thương mại công nghệ Kiến Việt.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 05:06:00,Vũ Thanh Hòa,Công ty CP thương mại công nghệ Kiến Việt,374746/GP-GH2 | 374746/GP-GH | 374745/GP | 374745/GP-GH,374746gh.pdf | 374746gh2.pdf | 374745gp.pdf | 374745gh.pdf | 374745bksuadoi.pdf,20260521_050351_Công ty CP thương mại công nghệ Kiến Việt.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 05:44:38,Vũ Thanh Hòa,Công ty TNHH phát triển kinh tế Ka Long,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_054324_Công ty TNHH phát triển kinh tế Ka Long.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 05:56:29,Vũ Thanh Hòa,Công ty TNHH phát triển kinh tế Ka Long,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_055451_Công ty TNHH phát triển kinh tế Ka Long.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 06:16:23,Nguyễn Thanh Thủy,Công ty TNHH phát triển kinh tế Ka Long,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_061512_Công ty TNHH phát triển kinh tế Ka Long.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 08:56:34,Vũ Thanh Hòa,Công ty TNHH phát triển kinh tế Ka Long,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_085539_Công ty TNHH phát triển kinh tế Ka Long.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 11:02:26,Vũ Thúy Hường,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260521_110045_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 22:46:34,Cao Minh Hồng,CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_224531_CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-21 23:21:31,Bùi Thanh Hường,CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_231908_CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-21 23:27:56,Bùi Thanh Hường,CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_231908_CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-21 23:28:04,Bùi Thanh Hường,CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_231908_CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-21 23:46:01,Nguyễn Đắc Thành,CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG,403640/GP,403640bk.pdf | 403640gp.pdf,20260521_233820_CÔNG TY TNHH PHÁT TRIỂN KINH TẾ KA LONG.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-21 23:52:50,Nguyễn Đắc Thành,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260521_234843_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-21 23:53:10,Nguyễn Đắc Thành,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260521_234843_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-22 00:05:37,Nguyễn Đắc Thành,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260522_000212_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
2026-05-22 00:13:25,Nguyễn Đắc Thành,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260522_001133_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát và gửi Lãnh đạo
